epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,73.3735,1.09896,1.98605,0.01565,0.91401,0.64178,0.88744,0.70004,1.51236,1.15893,0.01027,2.35417e-05,2.35417e-05,2.35417e-05
29,75.7798,1.5737,1.926,0.01647,0.89361,0.65454,0.87307,0.69371,1.51144,1.21991,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,78.1366,0.91089,1.88075,0.01145,0.89361,0.65454,0.87307,0.69371,1.51144,1.21991,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,80.5558,0.9809,1.85288,0.01178,0.74218,0.67373,0.83534,0.68196,1.51446,1.25009,0.01014,2.50971e-05,2.50971e-05,2.50971e-05
32,82.9511,1.08018,2.04721,0.01046,0.74218,0.67373,0.83534,0.68196,1.51446,1.25009,0.01014,2.55685e-05,2.55685e-05,2.55685e-05
33,85.6167,1.14472,2.18702,0.01634,0.73753,0.67793,0.83643,0.6834,1.53377,1.21647,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,88.1314,0.97224,1.3571,0.02018,0.73753,0.67793,0.83643,0.6834,1.53377,1.21647,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,90.8302,1.08923,1.82698,0.01186,0.70627,0.67559,0.83286,0.67244,1.55202,1.25243,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,93.1723,0.98492,1.59741,0.0126,0.70627,0.67559,0.83286,0.67244,1.55202,1.25243,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,95.6061,1.03445,2.36578,0.02221,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,98.217,1.25367,1.78662,0.0156,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
39,100.62,1.14501,2.66336,0.01896,0.66204,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,103.108,1.45608,2.2925,0.02167,0.66204,0.66667,0.80489,0.65699,1.62297,1.19393,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,105.78,1.05514,1.6499,0.01364,0.70345,0.66667,0.80298,0.65482,1.63423,1.19124,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
